folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg,Masala Tadka,20g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg,ITCChips&Snacks,20g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg,Bingo!TedheMedheMasala,20g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg,BINGO!,20g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg,"Bingo!No Rulz Curlz,Cheese",20g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg,Bingo!Mad AnglesAchaari,17.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg,Chocolates&Ch... BESTSELLER CandymanToffichoo Soft Toffee,768g,164.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg,Chocolate,768g,164.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg,VIEWDETAILS BESTSELLER CandymanFruiteeFun3 Candies,34g,50,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg,CaNDYMaN MRP200 ruiteeFun 3in1,660g,50.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg,ITCChocolates&Ch,768g,164.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg,SunfeastFantastikRoast,768g,164.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg,SOLDOUT VIEWDETAILS BESTSELLER Sunfeast Caker Trinity Cake,17.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg,infeast CAKER TRINITY MRP 10.0 SOLDOUT VIEWDET,7.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg,ITCChips&Snacks,17.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg,Bingo! No Rulz Mix Puffs,17.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg,Sunfeast Caker Trinity Cake,17.3g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg,Chocolates&Ch... BESTSELLER CandymanFruiteeFun3in1 Candies,660g,200,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg,CaNDYMaN MRP200 FruiteeFun 3in1 MRP 天200.0 SOLDOUT VIEWDETAILS BESTSELLER CandymanFruitee Fun Candies,660g,200,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg,SOLDOUT VIEWDETAILS BESTSELLER SunfeastFantastikChoco Almond Chocolate,750g,150,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg,ITCChocolates&Ch,660g,200,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg,SunfeastFantastikChoco,750g,150,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM.jpeg,teA4SingleLine ExerciseNotebook,,55,
ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM.jpeg,ITCStationery Items,,55,
