folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,MaggiMasalaCuppaNoodles,70g,52,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,"NescafeClassicCoffee,45gJar",45g,52.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,NESCAFE,45g,52.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,"MaggiPazzta,Mushroom",1g,,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM.jpeg,Nestle India Ltd SOLDOUT VIEWDETAILS BESTSELLER PoloTheMintWithTheHole,378g,140,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM.jpeg,POLO THE MINT WITH THE HOLE MRP R140.0 SOLDOUT VIEWDETAILS BESTSELLER NestleKitKatShare&Snap,378g,140,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM.jpeg,Nestle India Ltd,378g,140,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM.jpeg,"NestleKitKatShare&Snap,57g",378g,140,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,Milkybar,24.5g,20,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,pc Milkybar aFagRe 17.44 14.7% margin 17.96 11.4% margin G GOLD FREEDELIVERY MRP 20.0 VIEWDETAILS BESTSELLER MaggiPazzta,24.5g,20,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,gStandupPouch Maggi MRP35|Casesize96 PAZZTA Nutri PRICE/pc 32.14 8.9% margin GOLDFREEDELIVERY POUCH 70g VIEWDETAILS BESTSELLER MaggiMasalaCuppaNo 70gCup MRP$52|Case size 48 Maggi PRICE/pc MASALA 47.32 CUPPA q9%marain,70g,20.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,Nestle India Ltd,24.5g,20,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,"NestleMilkybar,24.5gPack",24.5g,20,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,"MaggiPazzta,Cheese",70g,20.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (1).jpeg,MaggiMasalaCuppaNo,70g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,Nestle India Ltd XDESTSELLER MaggiPazzta,64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,VIEWDETAILS BESTSELLER MaggiPazzta,64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,MasalaPe 65gStandupPouch PAZZTA MRP35|Case size96 PRICE/pc 32.14 8.9%margin,64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,Nestle India Ltd,64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,"MaggiPazzta,Mushroom",64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,"MaggiPazzta,CheesyTomato",64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM (2).jpeg,"MaggiPazzta,MasalaPe",64g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,Nestle India Ltd BESTSELLER Nescafe Sunrise Coffee,1.3g,2,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,NESCAFE Sunrise PRICE/pc 1.81 10.3% margin ARICHA 1.84 8.7% margin MADE WITHSLOWROASTEDCOFFEE BEANS GOLD FREEDELIVERY PACK PACK PACK PACK 1.3g 3.8 g 7.6 g 45g SOLD OUT ●oooo VIEWDETAILS BESTSELLER NestleMunch,1.3g,2,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,Nestle India Ltd,1.3g,2,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,"Nescafe Sunrise Coffee,1.3g",1.3g,2,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,NESCAFE,1.3g,2,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,"NestleMunch,19.6gPack",1.3g,10,
Nestle,WhatsApp Image 2026-04-18 at 12.18.42 PM.jpeg,NestleEveryDayDairyWhitener,15g,10,
Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg,VIEWDETAILS BESTSELLER MaggiMasala-a-Magic AromaticRoasted Spices,15g,10,
Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg,Masala Pack mlow MRP60|Case size60 PRICE/pc ?53.76 11.6% margin 55.1 8.9% margin GOLDFREEDELIVERY MRP MRP 1.0 60.0 SOLDOUT VIEWDET BESTSELLER MaggiPichkooRichTomato Ketchup,72g,10.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg,Nestle India Ltd,15g,10,
Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg,NestleEveryDayDairyWhitener,15g,10,
Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg,MaggiMasala-a-Magic,72g,10.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.43 PM.jpeg,MaggiPichkooRichTomato,80g,1.0,
