folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,HindustanUnileverlinited Jumbofarms ITC Limited BRITANNIA Nestle Cadbury Lavian Colgate reckitt,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,ITC Limited,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,BRITANNIA,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,Nestle,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,Cadbury,,,
companies,WhatsApp Image 2026-04-20 at 5.55.26 PM (2).jpeg,Lavian,,,
