productId,brand,name,imageUrl,matchedName,matchedBrands,score
"d4e2bb09-4f71-467a-b75b-90b68a8e346c","Britannia Treat","Britannia Treat Choco Creme","https://images.openfoodfacts.org/images/products/890/106/316/5830/front_es.3.400.jpg","Britannia treat funky choco","","15"
"9c23bba7-b81e-4519-ac3a-11fa43313afd","Comfort","Comfort Morning Fresh Fabric Conditioner","https://images.openfoodfacts.org/images/products/890/910/602/2034/front_en.3.400.jpg","Comfort Morning Fresh","","11"
"4260c7b4-93e7-4373-89d3-00fca1475590","Nestle KitKat","Nestle KitKat Share & Snap","https://images.openfoodfacts.org/images/products/930/060/504/2544/front_fr.9.400.jpg","Nestle Kit Kat Chocolate Bar Share Pack 185g","Kit Kat","9"
